nama;klub;nationality;age;pos;app;min;g;a;ball_rec;block;crosses_blocked;clearance;CC;take_on_s;foul;offside;fouled;cs;g_conceded;tackle;header;intercept;OG;crs;att_pass;pass_suc;g_penalty;saves;son;soff;shots;yc;rc
julian schwarzer;arema;phi;23;gk;6;540;0;0;;;;;;;1;;;1;10;1;;;;;132;97;;23;;0;;1;
adixi lenvizio;arema;idn;31;gk;1;90;0;;;;;;;;;;;;;;;;;;21;15;;2;;0;;;
diki agung s;arema;idn;25;gk;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
teguh amirudin;arema;idn;30;gk;3;270;0;;;;;;;;;;;0;7;;;;;;48;37;;10;;0;;;
m rendra teddy wijanarko;arema;idn;27;mf;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
flabiola solares;arema;idn;24;fw;3;96;0;;;;;;;;5;;;;;3;;1;;;26;24;;;2;1;3;;
samuel gideon balinsa;arema;idn;24;mf;1;26;0;0;;;;0;;;1;;;;;1;;3;;;16;14;;;;0;;;
rifad marasabessy;arema;idn;24;df;3;186;0;0;;;;1;;;1;0;;;;5;;5;;;87;75;;;;0;;;
bagas adi nugroho;arema;idn;26;df;7;595;0;0;;6;;15;;;4;;6;;;11;1;24;;1;261;225;;;;1;1;1;
asyraq gufron;arema;idn;27;df;3;182;0;0;;4;;8;;;;;;;;3;;9;;;50;41;;;;0;;;
syaeful anwar;arema;idn;29;df;5;269;0;0;;3;;15;;;5;;;;;2;3;12;;;95;80;;;;0;;1;
ichaka diara;arema;mal;28;df;7;531;0;0;;3;;30;;;8;;;;;6;4;38;;;235;181;;;4;3;7;2;
evan dimas d;arema;idn;28;mf;5;199;0;0;;;;0;;;2;;;;;5;;5;;;106;98;;;1;0;1;;
charles lokolingoy;arema;aus;26;mf;4;198;0;0;;;;1;;;2;2;9;;;0;;0;;1;43;31;;;3;2;5;;
pablo angel ariel lucero;arema;arg;24;mf;10;769;0;1;10;1;;1;16;5;8;2;21;;;15;;27;;2;449;328;;;10;8;18;;
muhammad rafli;arema;idn;25;mf;7;310;0;1;5;;;2;4;1;6;1;;;;1;;11;;3;133;106;;;1;1;2;2;
jayus hariono;arema;idn;26;mf;7;557;0;1;6;1;;3;2;1;12;0;;;;25;;18;;;233;205;;;;0;;4;
greg nwokolo;arema;idn;37;fw;5;48;0;1;;;;;;;3;;;;;;;2;;;15;13;;;;0;;;
seiya da costa lay;arema;idn;22;mf;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
charles raphael;arema;bra;28;mf;10;783;0;0;7;4;;42;;1;19;1;7;;;12;4;32;;;418;350;;;7;7;14;2;
hamdi sula;arema;idn;25;df;7;462;0;0;2;;;10;3;1;10;3;;;;11;;15;;3;216;164;;;;2;2;1;
gufroni al maruf;arema;idn;26;mf;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
mikael alfredo tata;arema;idn;19;df;8;574;0;0;3;;;7;2;2;11;;7;;;28;3;22;;1;220;167;;;1;3;4;3;
arkhan fikri;arema;idn;18;mf;7;313;0;0;6;;;;5;;2;;14;;;7;;4;;;148;122;;;;1;1;;
dendy santoso;arema;idn;33;mf;10;701;0;0;5;;;4;4;2;1;2;8;;;9;;17;;;276;221;;;;0;;;
achmad maulana syarif;arema;idn;20;mf;6;324;0;0;4;;;4;;;7;;8;;;12;1;10;;;153;129;;;;1;1;1;
gustavo almeida;arema;bra;27;fw;8;719;9;0;2;1;;8;5;4;16;8;19;;;2;1;6;;;142;101;3;;12;4;16;3;
ginanjar wahyu;arema;idn;19;fw;2;64;0;0;;;;;;1;;;;;;;1;3;;;24;16;;;;0;;;
dedik setiawan;arema;idn;29;fw;9;524;1;0;;;;;5;1;11;3;13;;;6;;3;;3;118;91;;;3;7;10;;
ahmad figo r;arema;idn;22;df;2;56;0;;;;;2;;;;;;;;2;;7;;1;33;22;;;;0;;;
johan alfarizi;arema;idn;33;df;1;90;0;;;;;1;;;;1;;;;1;;3;;;39;32;;;;0;;;
samsudin;arema;idn;26;fw;5;241;0;;;;;1;;;6;;;;;5;;3;;;65;49;;;1;0;1;;
bayu aji;arema;idn;23;df;4;183;0;0;;;;4;2;;2;;;;;7;2;12;;1;86;69;;;;1;1;;
adilson maringa;bali united;bra;33;gk;10;900;;;;;;2;;;;;;1;14;1;;;;;180;118;;37;;0;;1;
muhammad ridho;bali united;idn;32;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rakasurya handika;bali united;idn;23;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
i komang aryantara;bali united;idn;18;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
teguh infantrie;bali united;idn;24;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ramdani lestaluhu;bali united;idn;32;mf;5;170;;;;;;1;;;3;2;7;;;2;;3;;;53;40;;;1;2;3;;
komang tri arta wiguna;bali united;idn;22;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
i nyoman adi;bali united;idn;20;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
gede agus;bali united;idn;21;df;1;2;;;;;;1;;;1;;;;;;;;;;;;;;;0;;;
made tito;bali united;idn;20;mf;3;62;;;;;;;;;;;;;;;;;;;15;12;;;;1;1;;
